,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
170,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,140.0,98.0,381.0,110.0,88.0,355.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
210,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,140.0,98.0,381.0,120.0,84.0,381.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
226,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,140.0,98.0,381.0,120.0,84.0,406.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
227,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,140.0,98.0,381.0,120.0,84.0,406.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
332,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,2.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
350,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
351,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
353,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
354,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,2.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
355,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,2.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
357,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
361,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,4.0,Offroad,120.0,108.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
365,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,2.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
373,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Offroad,120.0,108.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
380,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
391,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
392,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Super motard,130.0,91.0,431.79999999999995,100.0,80.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
408,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Offroad,140.0,112.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
409,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Offroad,140.0,112.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
410,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Offroad,140.0,112.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
426,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Sport,130.0,91.0,431.79999999999995,110.0,77.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
428,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Allround,130.0,91.0,431.79999999999995,110.0,77.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
465,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Allround,140.0,98.0,431.79999999999995,120.0,96.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
