,Year,Displacement (ccm),Power (hp),Torque (Nm),Bore (mm),Stroke (mm),Fuel capacity (lts),Dry weight (kg),Wheelbase (mm),Seat height (mm)
170,0.7235988205303232,-0.9272155438001576,-1.0005400975747973,-0.9956857159775061,0.009743906407716326,-0.18611873398700152,-0.4153972961132769,0.16795110667836283,0.6617142363141577,-0.011905932584585546
171,0.7235988205303232,-0.9272155438001576,-0.943664693070748,-0.9717720392990388,0.009743906407716326,-0.18611873398700152,-0.4153972961132769,0.33213802098367035,0.6617142363141577,-0.011905932584585546
226,-0.3366531608002335,-0.9893675073618199,-1.0801656638804669,-0.9717720392990388,-0.21207325710911665,-0.1690158252336912,-0.4153972961132769,-0.3388867592206299,0.5015895489066892,0.10930406154645224
227,-0.03372402327721729,-0.9893675073618199,-1.0801656638804669,-1.02557781182559,-0.21207325710911665,-0.1690158252336912,-0.4153972961132769,-0.3388867592206299,0.5015895489066892,0.10930406154645224
332,0.11774054548429082,-1.3453287532149767,-1.273542039194235,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.634922523692621,-1.4096709829508962,-1.299813184427331,0.23051405567749003
350,0.5721342517688152,-1.3453287532149767,-1.273542039194235,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.634922523692621,-1.3811167369847557,-1.299813184427331,0.08506206272024469
351,0.8750633892918314,-1.343445360379775,-1.273542039194235,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.634922523692621,-1.3811167369847557,-0.9795638096123941,0.23051405567749003
353,0.8750633892918314,-1.140038934177971,-1.133249374750913,-1.2607289658305176,-0.7111618750219908,-0.3742507302734163,-1.634922523692621,-1.3240082450524748,-0.9795638096123941,0.23051405567749003
354,0.5721342517688152,-1.3453287532149767,-1.273542039194235,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.634922523692621,-1.3811167369847557,-1.299813184427331,0.23051405567749003
355,0.8750633892918314,-1.3453287532149767,-1.273542039194235,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.634922523692621,-1.3811167369847557,-0.9795638096123941,0.23051405567749003
357,0.8750633892918314,-1.140038934177971,-1.133249374750913,-1.2607289658305176,-0.7111618750219908,-0.3742507302734163,-1.634922523692621,-1.3240082450524748,-1.299813184427331,0.23051405567749003
361,-0.6395822983232496,-1.3453287532149767,-1.2754378860110365,-1.4002254131215763,-1.404340511012094,-1.0982738674968924,-1.5411128908019023,-1.3668396140016854,-0.5792520910937229,0.5699020392443959
365,-0.6395822983232496,-1.3453287532149767,-1.273542039194235,-1.4002254131215763,-1.2379776383744692,-1.0982738674968924,-1.5411128908019023,-1.3811167369847557,-0.5792520910937229,0.5699020392443959
373,-1.093976004607774,-1.205581004842997,-1.171166311086946,-1.2607289658305176,-0.7111618750219908,-0.8987399320416037,-1.4473032579111833,-1.3668396140016854,-0.5792520910937229,0.5699020392443959
380,0.11774054548429082,-1.140038934177971,-1.133249374750913,-1.2109088060837108,-0.7111618750219908,-0.35714782152010605,-1.634922523692621,-1.2240683841709834,-0.8194391222049257,0.3759660486347354
391,0.5721342517688152,-1.140038934177971,-1.133249374750913,-1.2109088060837108,-0.7111618750219908,-0.35714782152010605,-1.634922523692621,-1.2240683841709834,-0.8194391222049257,0.3759660486347354
392,0.8750633892918314,-1.140038934177971,-1.133249374750913,-1.2109088060837108,-0.7111618750219908,-0.3742507302734163,-1.634922523692621,-1.2240683841709834,-0.9795638096123941,0.3759660486347354
408,0.5721342517688152,-0.33639521139732526,-0.6024122660464512,-0.413786250134804,1.0079211422334646,0.435286950716612,0.24127013412175452,-0.6529834648481746,0.4615583770548221,0.6183860368968109
409,0.7235988205303232,-0.33639521139732526,-0.6024122660464512,-0.413786250134804,1.0079211422334646,0.435286950716612,0.24127013412175452,-0.6529834648481746,0.4615583770548221,0.6183860368968109
410,0.8750633892918314,-0.44883376365887806,-0.6024122660464512,-0.413786250134804,1.0079211422334646,0.435286950716612,0.24127013412175452,-0.6529834648481746,0.4615583770548221,0.6183860368968109
425,0.8750633892918314,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,-0.8469216074105834,-1.2526226301371237,-1.2197508407235969,-0.2543259208466611
428,0.8750633892918314,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,-0.8469216074105834,-1.2526226301371237,-1.2197508407235969,-0.2543259208466611
465,0.8750633892918314,-1.3453287532149767,-1.2981880478126564,-1.3822901556127258,-1.5429762382101144,-0.8417302361972356,0.6165086656846296,-0.5244893580005426,-0.17894037257505174,-0.3997779138039065
469,0.8750633892918314,-1.344387056797376,-1.3095631287134661,-1.3962398003418317,-1.5429762382101144,-0.8417302361972356,-0.5092069290039957,-0.9242488015265088,-0.9795638096123941,-0.1573579255418309
572,0.5721342517688152,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.0955742773233514,-1.2197508407235969,-0.060389930237000664
573,0.8750633892918314,-1.3453287532149767,-1.332313290515086,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.0955742773233514,-1.2197508407235969,-0.060389930237000664
574,1.1779925268148475,-1.3453287532149767,-1.332313290515086,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.067020031357211,-1.2197508407235969,-0.060389930237000664
575,0.5721342517688152,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.0955742773233514,-0.8995014659086599,-0.060389930237000664
576,0.8750633892918314,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.0955742773233514,-0.8995014659086599,-0.060389930237000664
577,1.1779925268148475,-1.3453287532149767,-1.3247299032478794,-1.3802973492228536,-1.5429762382101144,-0.8417302361972356,0.05365086834031698,-1.0955742773233514,-0.8995014659086599,-0.060389930237000664
651,-1.39690514213079,-1.1080212559795388,-1.0801656638804669,-1.167067065506521,-0.5503444314722866,-0.5053730307154634,-0.9782550934575895,-0.5387664809836129,-0.09887802887131752,-0.5549267062916349
705,-0.4881177295617416,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
706,-0.3366531608002335,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
707,-0.1851885920387254,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
710,-0.4881177295617416,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.15328416044071705,0.1813401740917523,0.3759660486347354
711,-0.3366531608002335,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.15328416044071705,0.1813401740917523,0.3759660486347354
712,-0.1851885920387254,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.15328416044071705,0.1813401740917523,0.3759660486347354
713,-0.03372402327721729,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
714,0.11774054548429082,-0.16651317766211507,0.23176033334627447,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
715,0.2692051142457989,-0.16651317766211507,0.23176033334627447,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
716,0.420669683007307,-0.16651317766211507,0.23176033334627447,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
717,-0.6395822983232496,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
718,-0.4881177295617416,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
719,-0.3366531608002335,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
720,-0.1851885920387254,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
721,-0.3366531608002335,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
722,-0.1851885920387254,-0.16651317766211507,0.19953093746064637,0.06448728343454009,0.5642868151997987,-0.704906966170752,-0.6968261947854332,-0.22466977535606814,0.1813401740917523,0.3759660486347354
723,0.420669683007307,0.11618408690168835,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
724,0.5721342517688152,0.11618408690168835,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.21039265237299792,0.1813401740917523,0.3759660486347354
725,0.7235988205303232,0.1086505155608808,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.21039265237299792,0.2614025177954865,0.3759660486347354
726,0.8750633892918314,0.10883885484440103,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.21039265237299792,0.2614025177954865,0.3759660486347354
727,1.0265279580533395,0.10883885484440103,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.08189854552536598,0.2614025177954865,0.3759660486347354
728,1.1779925268148475,0.10883885484440103,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.6968261947854332,-0.08189854552536598,0.2614025177954865,0.3759660486347354
760,-0.9425114358462658,0.10300033705527514,-0.08863777869320433,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.16756128342378726,-0.1549216694639315,0.03657806506782957
761,-0.7910468670847578,0.0012971239543731865,-0.08863777869320433,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.281778267288349,-0.1549216694639315,0.03657806506782957
769,0.2692051142457989,0.0018621418049336673,-0.06967931052518785,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.16756128342378726,-0.1549216694639315,0.03657806506782957
772,-0.1851885920387254,0.0018621418049336673,-0.08863777869320433,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.16756128342378726,-0.1549216694639315,0.03657806506782957
773,-0.03372402327721729,0.0018621418049336673,-0.08863777869320433,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.16756128342378726,-0.1549216694639315,0.03657806506782957
774,0.11774054548429082,0.0018621418049336673,-0.08863777869320433,-0.11486529165396396,0.3424696516829658,0.01341520146828713,0.05365086834031698,-0.16756128342378726,-0.1549216694639315,0.03657806506782957
811,-3.2144799672688875,-0.3508973362283799,-0.6024122660464512,-0.3938581862360814,1.0079211422334646,0.8115509432894417,-0.3215876632225581,-0.5815978499328236,-0.018815685167583293,0.2596044542689391
867,1.0265279580533395,-1.3449520746479364,-1.2280417155909953,-1.3523980597646417,-1.3211590746932815,-1.240798107107813,-0.22777803033183933,-1.0241886624080003,-1.035607450205008,0.1335460603726598
904,1.1779925268148475,-0.3377135863819667,0.3834280786904064,-0.23443367504629997,-0.045710384471491915,-0.27733424733799067,-0.13396839744112057,-0.45310374308519163,-0.8995014659086599,0.1335460603726598
905,1.0265279580533395,-0.3377135863819667,-0.6232665810312693,-0.23443367504629997,-0.045710384471491915,-0.27733424733799067,-0.13396839744112057,-0.45310374308519163,-0.8995014659086599,0.1335460603726598
938,-1.5483697108922982,0.3000032276173927,0.6488466330426372,0.3335161460672961,0.84155826959584,-0.07209934229826515,0.9917471972475047,-0.22466977535606814,-0.37909623183438734,0.1335460603726598
942,-0.9425114358462658,0.3000032276173927,1.1607252735790825,0.5626888809026068,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.21039265237299792,-0.5152022161307355,0.08506206272024469
949,-1.093976004607774,0.3000032276173927,1.1986422099151155,0.4431204975102708,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.22466977535606814,-0.5152022161307355,0.08506206272024469
957,-1.5483697108922982,0.3000032276173927,1.1038498690750331,0.5626888809026068,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.22466977535606814,-0.5152022161307355,0.08506206272024469
958,-1.5483697108922982,0.3000032276173927,1.1607252735790825,0.5626888809026068,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.3674410051867703,-0.5152022161307355,0.08506206272024469
965,1.0265279580533395,0.4909792611068641,2.601568854348336,0.8616098393834469,0.17610677904534106,-0.9386467191326616,0.5226990327939108,-0.3388867592206299,-0.34707129435289363,0.23051405567749003
967,0.7235988205303232,0.4514280115676244,2.601568854348336,0.8616098393834469,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.3388867592206299,-0.34707129435289363,0.28384645309514667
968,0.8750633892918314,0.4514280115676244,2.601568854348336,0.8616098393834469,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.3388867592206299,-0.34707129435289363,0.28384645309514667
969,1.0265279580533395,0.4909792611068641,2.601568854348336,0.8616098393834469,0.17610677904534106,-0.9386467191326616,0.5226990327939108,-0.3388867592206299,-0.34707129435289363,0.23051405567749003
970,-0.7910468670847578,0.30113326331851387,1.9001055321317257,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.24127013412175452,-0.31033251325448946,-0.46716480990849496,0.08506206272024469
987,-0.1851885920387254,0.30377001328779646,1.9001055321317257,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.24127013412175452,-0.23894689833913835,-0.49918974738998867,0.2547560545036976
988,-0.03372402327721729,0.30377001328779646,1.9759394048037917,0.7619695198898336,-0.21207325710911665,-0.9386467191326616,0.24127013412175452,-0.21039265237299792,-0.49918974738998867,0.2547560545036976
990,0.11774054548429082,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
991,0.2692051142457989,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
992,0.420669683007307,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
993,0.5721342517688152,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
994,0.7235988205303232,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.23051405567749003
995,0.8750633892918314,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.23051405567749003
996,0.11774054548429082,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
998,0.420669683007307,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
999,0.5721342517688152,0.30377001328779646,2.298233363660072,0.7221133920923882,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.29605539027141925,-0.49918974738998867,0.2547560545036976
1015,1.0265279580533395,-1.3449520746479364,-1.2280417155909953,-1.3523980597646417,-1.3211590746932815,-1.240798107107813,-1.5411128908019023,-1.0955742773233514,-1.0596261533161282,0.5456600404181883
1016,1.1779925268148475,-1.3449520746479364,-1.2280417155909953,-1.3523980597646417,-1.3211590746932815,-1.240798107107813,-1.634922523692621,-1.0955742773233514,-0.45915857553812156,0.5456600404181883
1086,-0.1851885920387254,-1.2379753616084692,-1.1522078429189293,-1.226851257202689,-1.0438876202972402,-0.6136914528197629,-1.4473032579111833,-0.6672605878312449,-0.8194391222049257,0.08506206272024469
1087,0.11774054548429082,-1.2379753616084692,-1.1522078429189293,-1.226851257202689,-1.0438876202972402,-0.6136914528197629,-1.4473032579111833,-0.6672605878312449,-0.8194391222049257,0.08506206272024469
1140,-0.3366531608002335,-0.6503567970254801,-0.7446007773065748,-0.6927791447169214,0.6751953969582153,0.1274345931570235,-0.4153972961132769,-0.45310374308519163,0.4615583770548221,-0.0361479314107931
1142,-0.1851885920387254,-0.6503567970254801,-0.7730384795585995,-0.7127072086156441,0.5642868151997987,0.01341520146828713,-0.4153972961132769,-0.16756128342378726,0.4615583770548221,-0.060389930237000664
1156,0.11774054548429082,-0.16651317766211507,0.2886357378503239,0.04256641314594526,0.5642868151997987,-0.704906966170752,-0.13396839744112057,-0.1104527914915064,-0.33906505998252023,0.08506206272024469
1157,0.2692051142457989,-0.16651317766211507,0.2886357378503239,0.04256641314594526,0.5642868151997987,-0.704906966170752,-0.13396839744112057,-0.1104527914915064,-0.33906505998252023,0.08506206272024469
1158,0.420669683007307,-0.16651317766211507,0.2886357378503239,0.04256641314594526,0.5642868151997987,-0.704906966170752,-0.13396839744112057,-0.1104527914915064,-0.33906505998252023,0.08506206272024469
1166,0.420669683007307,0.10883885484440103,0.2924274314839273,0.22391179462432145,0.5642868151997987,-0.2659323081691173,-0.13396839744112057,-0.1104527914915064,-0.33906505998252023,0.08506206272024469
1168,0.7235988205303232,0.1086505155608808,0.250718801514291,0.22391179462432145,0.5642868151997987,-0.2659323081691173,-0.13396839744112057,0.08942693027147663,-0.33906505998252023,0.08506206272024469
1169,0.8750633892918314,0.1086505155608808,0.2886357378503239,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.13396839744112057,0.08942693027147663,-0.13890920072318463,0.08506206272024469
1172,1.1779925268148475,0.10883885484440103,-0.6232665810312693,0.22391179462432145,0.5642868151997987,-0.07780031188270163,-0.13396839744112057,-0.0247900535930851,-0.13890920072318463,0.08506206272024469
1188,-0.9425114358462658,-1.3453287532149767,-1.1446244556517229,-1.3364556086456636,-1.3766133655724897,-1.1495825937568236,-1.2596839921297458,-0.7529233257296661,-0.9795638096123941,0.10930406154645224
1192,-1.093976004607774,-1.2061460226935572,-1.154103689735731,-1.1909807421849883,-0.5447990023843661,-1.1495825937568236,-1.2596839921297458,-0.7529233257296661,-0.939532637760527,0.10930406154645224
1194,-1.093976004607774,-1.1176265594390686,-1.0858532043308717,-1.1511246143875429,-0.5447990023843661,-0.4996720611310265,-0.9782550934575895,-0.7415016273432098,-0.939532637760527,0.10930406154645224
1301,0.2692051142457989,0.0018621418049336673,-0.07157515734198938,-0.04710987439830676,0.3424696516829658,0.01341520146828713,0.5226990327939108,0.6890660955604258,0.8858887986846136,-0.060389930237000664
1302,0.420669683007307,0.0018621418049336673,-0.07157515734198938,-0.04710987439830676,0.3424696516829658,0.01341520146828713,0.5226990327939108,0.6890660955604258,0.8858887986846136,-0.060389930237000664
1303,0.5721342517688152,0.0018621418049336673,-0.07157515734198938,-0.04710987439830676,0.3424696516829658,0.01341520146828713,0.5226990327939108,0.6890660955604258,0.8858887986846136,-0.060389930237000664
1304,0.7235988205303232,0.0018621418049336673,-0.07157515734198938,-0.04710987439830676,0.3424696516829658,0.01341520146828713,0.5226990327939108,0.6890660955604258,0.8858887986846136,-0.060389930237000664
1309,0.5721342517688152,0.0018621418049336673,-0.07157515734198938,-0.07500916385651861,0.3424696516829658,0.01341520146828713,0.5789848125283422,0.7033432185434959,0.8858887986846136,-0.060389930237000664
1311,0.8750633892918314,0.0018621418049336673,-0.07157515734198938,-0.04710987439830676,0.3424696516829658,0.01341520146828713,0.5226990327939108,0.7033432185434959,0.8858887986846136,-0.060389930237000664
1380,-1.5483697108922982,0.3000032276173927,1.1038498690750331,0.4431204975102708,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.22466977535606814,-0.5392209192418558,0.1335460603726598
